# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
si	㣈	si		
shan	㣌	shan		
tai	㣍	tai		
mu	㣎	mu		
jing	㣏	jing		
bian	㣐	bian		
yong	㣑	yong		
ceng	㣒	ceng		
can	㣓	can		
cheng	㣔	cheng		
zheng	㣔	zheng		
di	㣙	di		
zhou	㣙	zhou		
dong	㣚	dong		
tong	㣚	tong		
hui	㣛	hui		
ta	㣛	ta		
xing	㣜	xing		
song	㣝	song		
duo	㣞	duo		
xi	㣟	xi		
tao	㣠	tao		
tong	㣠	tong		
ti	㣢	ti		
shan	㣣	shan		
jian	㣤	jian		
zhi	㣥	zhi		
wei	㣦	wei		
yin	㣧	yin		
huan	㣪	huan		
dong	㣫	dong		
zhong	㣫	zhong		
qi	㣬	qi		
zong	㣭	zong		
xie	㣯	xie		
xie	㣰	xie		
ze	㣱	ze		
wei	㣲	wei		
ta	㣵	ta		
zhan	㣶	zhan		
ning	㣷	ning		
xin	㣺	xin		
yi	㣻	yi		
ren	㣼	ren		
nu	㣽	nu		
shu	㣽	shu		
cha	㣾	cha		
diao	㣿	diao		
zhuo	㣿	zhuo		
mian	㤁	mian		
ji	㤂	ji		
fang	㤃	fang		
pei	㤄	pei		
ai	㤅	ai		
fan	㤆	fan		
